Gender,Age Range,Skin Type,Skin Concern,Skin Sensitivity,Allergic Issue,Recommended Products
Male,Under 18,Dry,Rosacea,Mild Sensitivity,Contact Dermatitis,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Mild Sensitivity,Eczema,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Mild Sensitivity,Rosacea,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Mild Sensitivity,Hives,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Severe Sensitivity,Contact Dermatitis,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Severe Sensitivity,Eczema,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Severe Sensitivity,Rosacea,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Severe Sensitivity,Hives,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Moderate Sensitivity,Contact Dermatitis,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
Male,Under 18,Dry,Rosacea,Moderate Sensitivity,Eczema,"Cleanser: CeraVe Hydrating Cleanser (AM & PM daily), Moisturizer: CeraVe Moisturizing Cream (AM & PM daily), Sunscreen: La Roche-Posay Anthelios Melt-in Milk Sunscreen SPF 60 (AM daily)"
